Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	tree_length
0	-941.4122	-1086.017	144.6047	0.0443441	0.00852943	0.00132584	0.000501288	0.00178938	0.000131493	0.0034644	0.0138654	0.006082	0.00406678	0.00214504	0.0020645	0.00199638	0.00493342	0.00269557	0.00310293	0.00969317	0.00215949	0.00887033	0.00132008	0.00481093	0.00119257	0.00364063	0.00101865	0.00122568	0.00583805	0.000603079	0.0103807	0.00696531	0.00206138	0.0204983	0.00070149	0.000256033	0.00126934	0.00291035	0.0111271	0.000196974	0.00944681	0.00304475	0.00384084	0.00892145	0.00413922	0.00671637	0.00777182	0.0536041	0.0122721	0.0120693	0.0420272	0.00959417	0.00336847	0.0142548	0.0027727	0.022406	0.00473626	0.0175327	0.0144658	0.0260864	0.0233364	0.00803143	0.00822556	0.00298274	0.00234048	0.00121835	0.00641229	0.00163308	0.000604828	0.00140498	0.000481116	0.0114869	0.00722637	0.00643447	0.0110498	0.020657	0.010246	3.16937e-05	0.00112739	0.000956783	0.0128141	0.00224917	0.00757534	0.0111384	0.010082	0.0105901	0.0347771	0.000331503	0.0709294	0.275134	0.668572	1.49572	3.63459	14.0985	1.913291	0.0640539	0.0123205	0.00191514	0.000724096	0.0025847	0.000189939	0.00500423	0.0200282	0.00878529	0.00587435	0.00309845	0.00298211	0.00288372	0.00712618	0.00389367	0.0044821	0.0140015	0.00311932	0.0128129	0.00190682	0.00694925	0.00172263	0.00525879	0.00147141	0.00177046	0.00843291	0.000871131	0.0149946	0.0100612	0.00297761	0.0296092	0.00101328	0.000369832	0.00183352	0.00420392	0.0160727	0.000284523	0.0136457	0.00439806	0.00554799	0.0128868	0.00597899	0.00970161	0.0112262	0.0774296	0.0177267	0.0174338	0.0607071	0.0138585	0.00486566	0.0205907	0.00400509	0.0323648	0.0068414	0.0253256	0.0208954	0.0376811	0.0337088	0.0116012	0.0118816	0.00430848	0.00338076	0.00175988	0.00926237	0.00235893	0.000873658	0.00202945	0.000694959	0.0165925	0.0104383	0.00929441	0.0159612	0.0298385	0.0148	4.57806e-05	0.00162849	0.00138205	0.0185096	0.00324887	0.0109424	0.016089	0.0145632	0.0152972	0.0502346	0.000478847	0.6922942
36	-932.4263	-1076.776	144.3493	0.0760769	0.0219458	0.0122604	0.000799213	0.00522311	0.0052713	0.00288965	0.0254734	0.0123784	0.0151256	0.0024757	0.00821942	0.0130556	0.00220341	0.0039924	0.00950366	0.00998196	0.00649717	0.0129488	0.000244458	0.00892904	0.00478306	0.00362801	0.00348313	0.000602873	0.0026385	0.000141136	0.0124428	0.059292	0.00574292	0.00275629	0.00902852	0.00098242	0.0226911	0.00685028	0.00907023	0.00330522	0.0144947	0.0124035	0.022043	0.00587048	0.00570761	0.00732104	0.00484993	0.00556699	0.00218883	0.0053906	0.0448155	0.0123032	0.00155511	0.0299621	0.00874996	0.0229477	0.0538303	0.0697788	0.0230522	0.00636867	0.0408088	0.0628139	0.00333824	0.0065508	0.0590685	0.0162007	0.0227797	0.00758243	0.0270764	0.018618	0.0694482	0.000909864	0.0152869	0.00364682	0.0113016	0.000151848	0.0207141	0.00208997	0.0140825	0.0136529	0.00316351	0.0208263	0.00194634	0.00741344	0.0293031	0.0437947	0.000512234	0.0039029	0.109883	0.340612	0.714618	1.39935	2.93589	9.10056	1.596779	0.0590147	0.0170239	0.00951066	0.000619969	0.00405169	0.00408907	0.00224157	0.0197603	0.00960222	0.0117333	0.00192046	0.006376	0.0101276	0.00170924	0.003097	0.00737221	0.00774324	0.00504001	0.0100447	0.000189632	0.00692647	0.00371033	0.00281434	0.00270194	0.000467663	0.00204675	0.000109482	0.0096522	0.0459942	0.00445492	0.00213812	0.00700364	0.000762086	0.017602	0.00531392	0.00703599	0.00256394	0.0112439	0.00962173	0.0170992	0.00455387	0.00442753	0.00567911	0.00376221	0.00431845	0.00169793	0.00418162	0.0347645	0.00954387	0.00120633	0.0232423	0.00678755	0.0178011	0.0417574	0.0541291	0.0178821	0.00494033	0.0316563	0.0487262	0.00258955	0.00508161	0.0458208	0.0125673	0.0176708	0.00588187	0.0210038	0.0144424	0.0538726	0.000705803	0.0118584	0.00282893	0.00876693	0.000117792	0.0160685	0.00162124	0.0109241	0.0105909	0.00245401	0.0161555	0.00150982	0.00575078	0.0227311	0.0339726	0.000397352	0.00302757	1.289119
72	-930.6534	-1075.145	144.492	0.0303917	0.00632314	0.00378265	0.00123405	0.00162087	0.00254446	0.0022478	0.00232887	0.0145227	0.00487225	0.00153713	0.00307377	0.00205499	0.00110489	0.000374978	0.00410993	0.00128793	0.00231208	0.00577898	0.000105985	0.00405101	0.00399766	0.00477592	0.00186987	0.00174018	0.00130625	0.000800555	0.00270717	0.0255019	0.00797837	0.00347495	0.000788208	0.0013966	0.00572189	0.00432894	0.00390117	0.00372968	0.0185709	0.0071676	0.0125455	0.00252494	0.00425336	0.00680647	0.00313028	0.0134759	0.00205553	0.00505226	0.0191638	0.00587755	0.00216307	0.00616015	9.49173e-05	0.00146043	0.033432	0.0215055	0.00813452	0.00132546	0.0126805	0.0332308	0.00848995	0.000241173	0.014233	0.0162879	0.00897823	0.000979487	0.015337	0.0105881	0.0383139	0.000648313	0.0101304	0.00357133	0.00256566	0.000318772	0.00150033	0.000329808	0.00720585	0.00148767	0.0156603	0.0129497	0.000690959	0.00322122	0.0149196	0.0139797	0.00297386	0.000382128	0.0572086	0.247748	0.647057	1.54546	4.03635	17.4799	2.068737	0.0509521	0.0106008	0.00634167	0.0020689	0.00271741	0.00426582	0.00376847	0.0039044	0.0243476	0.00816841	0.00257702	0.00515323	0.00344523	0.00185236	0.000628657	0.00689037	0.00215924	0.00387624	0.00968856	0.000177685	0.00679158	0.00670215	0.0080069	0.00313486	0.00291744	0.00218995	0.00134214	0.00453862	0.0427543	0.0133759	0.00582582	0.00132144	0.00234141	0.00959284	0.00725754	0.00654037	0.00625287	0.0311343	0.0120166	0.0210327	0.00423309	0.00713082	0.0114112	0.00524796	0.0225926	0.00344613	0.0084702	0.0321284	0.0098538	0.00362642	0.0103276	0.00015913	0.00244844	0.0560493	0.0360543	0.0136377	0.00222215	0.021259	0.0557119	0.0142335	0.00040433	0.0238619	0.0273069	0.0150521	0.00164213	0.0257127	0.0177511	0.0642339	0.00108691	0.0169837	0.0059874	0.00430137	0.000534427	0.00251533	0.000552928	0.0120807	0.00249411	0.0262547	0.0217104	0.0011584	0.00540043	0.0250129	0.0234372	0.00498573	0.000640644	0.5964751
108	-924.6846	-1068.899	144.2148	0.010305	0.0103503	0.00454523	0.000150645	0.00264181	0.000172649	0.00168395	0.00189031	0.00507667	0.00665619	0.00226273	0.00293288	0.000406156	0.000894446	0.00014493	0.00396731	0.001432	0.00358721	0.000921686	0.000192118	0.00244767	0.000628212	0.000256065	0.00125723	0.000128459	0.00370013	0.00118846	0.0022397	0.00990472	0.0023662	0.00645962	0.00228236	0.000966057	0.00157892	0.00139536	0.00446635	0.00307946	0.00958464	0.00884608	0.000149622	0.00239365	0.00131635	0.000738475	0.00214628	0.00190824	0.000605777	0.00996034	0.00536598	0.00118183	0.00798416	0.00186682	0.00201961	0.00424104	0.0129938	0.00127278	0.0329854	4.81533e-05	0.00359986	0.00032155	0.015858	0.00128135	0.0220964	0.00233164	0.00696227	0.000343647	0.00332488	0.000156285	0.0113315	0.000456108	0.0137405	0.0145014	0.028334	0.0041462	6.56322e-05	0.00345028	0.0105415	0.00537111	0.00798719	0.000426	0.000967393	4.25922e-05	0.00742831	0.0064994	0.00186419	0.0052236	0.0396174	0.207103	0.611875	1.63432	4.82853	25.2414	2.334419	0.0263676	0.0264834	0.01163	0.000385459	0.00675964	0.000441759	0.00430875	0.00483677	0.0129898	0.0170313	0.00578967	0.0075044	0.00103924	0.00228863	0.000370836	0.0101512	0.00366408	0.00917867	0.00235833	0.000491575	0.0062629	0.00160742	0.000655199	0.0032169	0.00032869	0.00946759	0.00304093	0.00573075	0.0253434	0.00605444	0.0165283	0.00583991	0.00247187	0.00404	0.00357033	0.0114281	0.00787946	0.0245244	0.0226346	0.00038284	0.00612468	0.00336816	0.00188955	0.00549171	0.00488264	0.00155001	0.0254857	0.01373	0.00302398	0.0204292	0.00477666	0.00516761	0.0108516	0.0332474	0.00325668	0.0844003	0.000123211	0.00921101	0.000822755	0.0405762	0.00327862	0.0565385	0.005966	0.0178145	0.000879295	0.00850743	0.000399889	0.0289941	0.00116705	0.0351579	0.0371049	0.0724987	0.010609	0.000167934	0.0088283	0.0269728	0.0137432	0.0204369	0.00109001	0.00247529	0.000108981	0.0190069	0.0166301	0.00476993	0.0133657	0.3908209
144	-933.781	-1078.171	144.3899	0.0257238	0.00607692	0.0012232	0.00263291	0.00119178	0.00824514	0.00200952	0.00516889	0.00585362	0.0141102	0.000659651	0.00864971	0.000697219	0.00493364	0.000305891	0.00986172	0.00169967	0.0012399	0.00301759	0.000466037	0.00243806	0.00056484	0.00460783	0.00304732	2.3215e-05	0.000665448	0.00160584	0.00499344	0.0383898	0.00331187	0.00590481	0.000770331	0.00287438	0.00306857	0.0021053	0.0139083	0.00509717	0.00661054	0.0130531	0.00668408	0.00695978	0.00767966	0.000236562	0.00472392	0.0552169	0.00367633	0.0112241	0.0278328	0.015427	0.00446549	0.0148753	0.0206686	0.00327206	0.0240208	0.021455	0.00545081	0.00653756	0.0373106	0.00744384	0.0152011	0.00461561	0.0237334	0.00552608	0.00584751	0.00529258	0.00567802	0.000338694	6.68858e-05	0.00152482	0.00758659	0.00621713	0.0100295	0.0229981	0.00166871	0.000313115	0.0346762	0.00813719	0.00666031	0.000206276	0.0130528	0.0049863	0.00496127	0.020244	0.0290415	0.00230107	0.0549803	0.242994	0.643157	1.55483	4.11533	18.1883	2.097464	0.0346275	0.0081803	0.00164658	0.00354422	0.00160429	0.011099	0.00270506	0.00695798	0.00787971	0.0189941	0.000887973	0.0116436	0.000938544	0.0066413	0.000411768	0.0132751	0.00228797	0.00166907	0.00406205	0.000627344	0.00328193	0.000760346	0.00620271	0.00410208	3.12503e-05	0.000895776	0.00216166	0.0067218	0.0516775	0.0044582	0.00794861	0.00103696	0.00386928	0.00413069	0.00283399	0.0187223	0.00686143	0.00889861	0.0175711	0.00899761	0.00936873	0.0103378	0.000318442	0.00635899	0.0743288	0.00494881	0.015109	0.0374664	0.0207667	0.0060111	0.020024	0.0278225	0.0044046	0.032335	0.0288811	0.00733747	0.00880038	0.0502247	0.0100203	0.0204625	0.00621319	0.0319481	0.0074388	0.00787147	0.00712447	0.00764333	0.000455924	9.00367e-05	0.00205259	0.0102125	0.00836904	0.0135009	0.0309584	0.00224629	0.000421492	0.0466785	0.0109537	0.00896561	0.000277673	0.0175707	0.00671218	0.00667849	0.027251	0.0390935	0.00309753	0.742873
180	-922.6182	-1066.91	144.2921	0.0508927	0.0141223	0.00672723	0.00982116	0.00119042	0.0159521	0.000992765	0.0122218	0.0271288	0.0112124	0.002224	0.0123184	0.00966995	0.00778516	0.00330332	0.0123178	0.00831764	0.00278165	0.00426987	0.000254733	0.00892005	0.0110485	0.00284315	0.00602891	0.000199032	0.00193758	0.00391564	0.00945397	0.0759515	0.00838643	0.0146351	0.00152404	0.005757	0.0030878	0.00473925	0.00549019	0.00977377	0.00795233	0.0166837	0.00336327	0.0141052	0.0130013	0.00464299	0.00661986	0.131501	0.0119238	0.0167533	0.0580952	0.0115093	0.00233215	0.0311726	0.0148419	0.00669713	0.00668795	0.0424472	0.0105934	0.0371352	0.0717502	0.00441852	0.0293119	0.00381597	0.0200541	0.0141915	0.00458214	0.00528981	0.00231372	0.01142	0.012078	0.00538463	0.0125647	0.0171736	0.0196306	0.0525154	0.00161494	0.0108813	0.0678387	0.0146813	0.00936869	6.47988e-05	0.0125916	0.0112694	0.00590169	0.0152343	0.114191	0.00746101	0.121529	0.357764	0.725655	1.37807	2.79514	8.22848	1.523941	0.0365386	0.0101392	0.00482984	0.00705113	0.000854663	0.0114529	0.000712759	0.00877467	0.0194772	0.00805001	0.00159673	0.00884402	0.00694257	0.00558938	0.00237163	0.00884358	0.00597168	0.0019971	0.00306557	0.000182887	0.00640418	0.00793233	0.00204125	0.00432847	0.000142896	0.00139109	0.00281125	0.00678751	0.0545296	0.00602107	0.0105073	0.00109419	0.00413326	0.00221689	0.00340256	0.0039417	0.00701711	0.00570941	0.0119781	0.00241467	0.0101269	0.00933432	0.00333345	0.00475275	0.0944115	0.00856076	0.0120281	0.0417097	0.00826316	0.00167438	0.0223805	0.0106558	0.00480822	0.00480164	0.0304751	0.00760554	0.0266614	0.0515133	0.00317229	0.0210446	0.00273969	0.0143979	0.0101888	0.00328976	0.00379784	0.00166115	0.008199	0.00867144	0.00386591	0.00902089	0.0123298	0.0140939	0.0377036	0.00115945	0.0078123	0.048705	0.0105405	0.00672628	4.65225e-05	0.00904015	0.00809093	0.00423714	0.0109375	0.0819836	0.00535666	1.392848
216	-929.2183	-1073.65	144.4318	0.00982937	0.014832	0.0148618	8.96873e-05	0.00204583	0.00197918	0.000208486	0.00789485	0.0126995	0.0130194	0.000532116	0.00213212	0.00101495	0.00366198	0.0016152	0.00647943	0.00431854	0.00155385	0.000626479	0.00150196	0.00170731	0.000769934	0.00579771	0.00109136	0.000748663	0.000474713	0.00302852	0.00370997	0.034235	0.00964792	0.000900616	0.00543818	0.0052865	0.00197519	0.00536597	0.00235024	0.0121329	0.000602072	0.00223685	0.00712293	0.002577	0.00908363	0.00665821	0.00581489	0.000591149	0.0067527	0.00384888	0.028969	0.00461898	8.06905e-05	0.021088	0.00488634	7.62825e-05	0.0377458	0.0294844	0.00177622	0.00458449	0.00643606	0.0255223	0.00184535	0.00119481	0.0139097	0.0267204	0.0115407	0.0078053	0.00652677	0.00277512	0.0563412	0.0138628	0.00567349	0.00947933	0.0150089	0.00548803	0.00337836	0.00897454	0.000652644	0.00311943	0.0109119	0.026117	0.00884001	0.00171545	0.00497355	0.0210807	0.00107095	0.0131826	0.0556735	0.244483	0.644385	1.55187	4.09026	17.9619	2.088405	0.0142806	0.0215486	0.0215919	0.000130302	0.00297228	0.00287544	0.000302898	0.01147	0.0184504	0.0189152	0.000773084	0.00309765	0.00147457	0.0053203	0.00234664	0.00941363	0.00627418	0.00225751	0.000910179	0.00218212	0.00248046	0.0011186	0.00842319	0.00158558	0.00108769	0.000689685	0.00439997	0.00539002	0.0497382	0.014017	0.00130846	0.00790084	0.00768048	0.00286965	0.00779594	0.00341454	0.0176273	0.000874718	0.0032498	0.0103485	0.00374398	0.0131971	0.00967337	0.00844814	0.000858849	0.00981064	0.00559184	0.0420876	0.00671067	0.000117231	0.0306377	0.0070991	0.000110827	0.0548389	0.0428364	0.00258057	0.00666057	0.00935061	0.03708	0.00268102	0.00173588	0.0202087	0.0388207	0.0167669	0.0113399	0.00948241	0.00403183	0.0818552	0.0201405	0.00824272	0.013772	0.0218057	0.00797327	0.00490824	0.0130386	0.000948192	0.00453205	0.0158533	0.037944	0.0128432	0.00249229	0.00722581	0.0306271	0.00155593	0.0191523	0.6883036
252	-934.4607	-1078.413	143.9523	0.00666463	0.00856486	0.00635789	0.000272735	0.00436748	0.00280028	0.000156953	0.00450439	0.00191218	0.000969288	0.00053433	0.0016756	0.00141483	0.00239625	0.000160861	0.000800877	0.0038089	0.000832983	2.59498e-05	0.000295472	0.000446929	0.000407994	0.00286555	0.00059614	0.00115504	0.000318397	0.000928977	0.00156583	0.0100605	0.0009228	0.00492532	0.00129452	0.000340453	0.00234688	0.00183034	0.000404723	0.000270542	0.0075794	0.0077967	0.000285438	0.00236759	0.0044349	0.00186191	0.00480478	0.00178983	0.00963467	0.00702697	0.00536007	0.000679482	0.00186502	0.00034824	0.0028459	0.000309847	0.0021244	0.00182835	0.0288035	0.000317417	0.00141374	0.00513048	0.00472028	7.41573e-05	0.012214	0.0160474	0.00518563	0.00144483	0.00278398	0.00103395	0.00226293	0.00441709	0.0101791	0.0163025	0.0144693	0.00187079	0.00446554	0.00174899	0.000793078	0.0035474	0.00222804	0.000402527	0.00152861	0.00134312	0.00197101	0.000623043	0.00126353	0.004028	0.0312065	0.184348	0.590056	1.69476	5.42451	32.0446	2.506974	0.0226107	0.0290575	0.0215701	0.000925292	0.0148173	0.00950034	0.000532487	0.0152818	0.00648734	0.00328845	0.00181279	0.00568472	0.00480002	0.00812962	0.000545744	0.00271709	0.0129223	0.00282602	8.80383e-05	0.00100243	0.00151627	0.00138418	0.00972179	0.00202249	0.00391864	0.00108021	0.00315169	0.00531232	0.0341318	0.00313073	0.0167099	0.00439183	0.00115503	0.00796213	0.0062097	0.00137308	0.000917852	0.0257142	0.0264515	0.000968391	0.00803239	0.0150461	0.0063168	0.0163009	0.00607224	0.032687	0.02384	0.0181848	0.00230524	0.00632735	0.00118146	0.00965513	0.0010512	0.00720733	0.00620293	0.0977201	0.00107689	0.00479633	0.0174059	0.0160142	0.000251589	0.0414379	0.0544432	0.017593	0.00490178	0.00944505	0.00350781	0.00767731	0.0149856	0.0345342	0.0553085	0.0490892	0.00634692	0.01515	0.0059337	0.00269063	0.0120351	0.00755896	0.00136563	0.00518605	0.00455673	0.00668695	0.00211376	0.00428671	0.0136656	0.2947552
288	-927.5013	-1071.516	144.0148	0.00482467	0.00574638	0.000524571	0.000118514	0.00104478	0.00198727	0.000901324	0.00138334	0.00998881	0.00398347	0.00371726	0.000293366	0.00401811	0.00248323	0.00102716	0.000452263	0.00234969	0.000308736	0.000393772	0.000430745	0.00167253	0.00222256	0.00296853	0.000506308	0.000886426	7.77478e-05	0.000997709	0.00204689	0.00567755	0.00203393	0.0045629	0.000614179	0.000470585	0.00182809	0.00145624	0.00141745	0.000421452	0.00702169	0.00366063	0.000905862	0.00168009	0.00220568	0.00263819	0.00439243	0.000222928	0.0160478	0.0125269	0.00171345	0.00118263	0.000750114	0.000844613	0.00215306	0.000498163	0.00162839	0.00169381	0.021165	0.000947667	0.0016449	0.00586803	0.0058667	0.000934363	0.0175408	0.01494	0.00390364	0.00410754	0.00752537	0.000355554	0.00106726	0.00213809	0.0141674	0.0185987	0.0142848	0.00255605	0.00495399	0.00162029	0.000455769	0.00328637	0.00425476	0.000296188	0.00125267	0.0011901	0.0017699	0.000440711	0.00179123	0.00765138	0.0334381	0.190664	0.59629	1.67704	5.24482	29.906	2.45703	0.0158612	0.0188914	0.00172454	0.000389619	0.00343473	0.00653321	0.00296313	0.00454777	0.0328385	0.0130958	0.0122206	0.00096445	0.0132097	0.0081637	0.0033768	0.00148683	0.00772466	0.00101498	0.00129454	0.00141608	0.00549849	0.00730672	0.00975911	0.0016645	0.00291415	0.000255598	0.00327999	0.00672922	0.0186651	0.00668659	0.0150006	0.00201913	0.00154706	0.00600989	0.00478743	0.0046599	0.00138553	0.023084	0.0120344	0.00297805	0.00552333	0.00725124	0.00867311	0.0144402	0.000732882	0.0527574	0.0411825	0.00563302	0.00388794	0.00246602	0.00277669	0.00707824	0.00163772	0.00535339	0.00556845	0.0695804	0.00311548	0.00540764	0.0192913	0.0192869	0.00307174	0.0576659	0.0491155	0.0128333	0.0135036	0.0247399	0.00116889	0.00350865	0.00702902	0.0465756	0.0611438	0.0469616	0.00840309	0.0162864	0.00532675	0.00149835	0.010804	0.0139876	0.000973726	0.00411819	0.00391248	0.00581859	0.00144885	0.00588871	0.0251541	0.3041801
324	-915.965	-1060.509	144.5437	0.0513417	0.0197345	0.0186717	0.00230567	0.00749536	0.00125152	0.00485067	0.00390214	0.00610899	0.00184108	0.0014335	0.00277765	0.0103705	0.0125317	0.00158102	0.00512567	0.00983057	0.00137168	0.0118891	0.00338592	0.00438356	0.00278589	0.00583859	0.0028858	0.00167844	0.000243094	0.000132657	0.00851167	0.0234086	0.00955939	0.00334393	0.00281251	0.00214941	0.00379242	0.00618214	0.00978719	0.00139681	0.0164175	0.014773	0.0160082	0.00512537	0.00129097	0.00329164	0.00710751	0.0810821	0.0433906	0.0155397	0.0939795	0.0191218	0.0053666	0.0137163	0.0162381	0.00806795	0.0101696	0.00902532	0.0054322	0.0304724	0.0136061	0.00994192	0.0131414	0.000293416	0.0042151	0.00216552	0.00205103	0.00677392	0.0086508	0.00359499	0.00253647	0.000921562	0.0113422	0.00352572	0.00898267	0.0337893	0.00738622	0.00364865	0.0336867	0.00265921	0.00539483	0.000518794	0.01071	0.00685558	0.00101026	0.0245334	0.0627911	0.00865467	0.0888187	0.307031	0.691848	1.4454	3.257	11.2589	1.750664	0.0526209	0.0202262	0.0191369	0.00236312	0.00768211	0.0012827	0.00497152	0.00399936	0.0062612	0.00188695	0.00146922	0.00284686	0.0106289	0.0128439	0.00162041	0.00525337	0.0100755	0.00140586	0.0121853	0.00347028	0.00449278	0.0028553	0.00598406	0.0029577	0.00172026	0.000249151	0.000135962	0.00872374	0.0239918	0.00979756	0.00342725	0.00288259	0.00220296	0.00388691	0.00633617	0.010031	0.00143161	0.0168266	0.0151411	0.016407	0.00525307	0.00132313	0.00337365	0.00728459	0.0831023	0.0444717	0.0159269	0.096321	0.0195982	0.00550031	0.0140581	0.0166426	0.00826896	0.010423	0.00925019	0.00556754	0.0312317	0.0139451	0.0101896	0.0134688	0.000300726	0.00432012	0.00221947	0.00210213	0.00694269	0.00886633	0.00368456	0.00259967	0.000944523	0.0116248	0.00361356	0.00920647	0.0346311	0.00757025	0.00373956	0.034526	0.00272546	0.00552924	0.00053172	0.0109768	0.00702639	0.00103543	0.0251447	0.0643555	0.0088703	0.9756907
